PC(DEC) Instruction(HEX)   A Before(HEX)    A After(HEX)         EA(HEX) 
   0         f000019              00              00              99 
 129         110001a              00              02              9a 
 130         9100018              02              02              98 
 131         1000019              00              01              99 
 132         121001e              00              0a              80 
 133         c320000              00              05              8a 
 138         500001b              01              03              9b 
 139         c300014              05              0b              94 
 148         200001c              03              03              9c 
   0        10000019              03              00              99 
   0         f000019              03              00              99 
 151         c300001              0b              17              81 
 129         110001a              02              02              9a 
 130         9100018              02              02              98 
 131         1000019              03              02              99 
 132         121001e              0a              0a              80 
 133         c320000              17              05              8a 
 138         500001b              02              06              9b 
 139         c300014              05              0b              94 
 148         200001c              06              06              9c 
   0        10000019              06              00              99 
   0         f000019              06              00              99 
 151         c300001              0b              17              81 
 129         110001a              02              04              9a 
 130         9100018              04              04              98 
 131         1000019              06              03              99 
 132         121001e              0a              0e              82 
 133         c320000              17              05              8e 
 142         100001d              03              00              9d 
 143         4000019              00        80000003              99 
 144         c300014              05              10              94 
 148         200001c        80000003        80000003              9c 
   0        10000019        80000003              00              99 
   0         f000019        80000003              00              99 
 151         c300001              10              17              81 
 129         110001a              04              06              9a 
 130         9100018              06              06              98 
 131         1000019        80000003              04              99 
 132         121001e              0e              13              84 
 133         c320000              17              05              93 
 147         e00001b              04              07              9b 
 148         200001c              07              07              9c 
   0        10000019              07              00              99 
   0         f000019              07              00              99 
 151         c300001              05              17              81 
 129         110001a              06              06              9a 
 130         9100018              06              06              98 
 131         1000019              07              05              99 
 132         121001e              13              13              84 
 133         c320000              17              05              93 
 147         e00001b              05              55              9b 
 148         200001c              55              55              9c 
   0        10000019              55              00              99 
   0         f000019              55              00              99 
 151         c300001              05              17              81 
 129         110001a              06              04              9a 
 130         9100018              04              04              98 
 131         1000019              55              06              99 
 132         121001e              13              0e              82 
 133         c320000              17              05              8e 
 142         100001d              06              00              9d 
 143         4000019              00        80000006              99 
 144         c300014              05              10              94 
 148         200001c        80000006        80000006              9c 
   0        10000019        80000006              00              99 
   0         f000019        80000006              00              99 
 151         c300001              10              17              81 
 129         110001a              04              04              9a 
 130         9100018              04              04              98 
 131         1000019        80000006              00              99 
 132         121001e              0e              0e              82 
 133         c320000              17              05              8e 
 142         100001d              00              00              9d 
 143         4000019              00              00              99 
 144         c300014              05              10              94 
 148         200001c              00              00              9c 
   0        10000019              00              00              99 
   0         f000019              00              00              99 
 151         c300001              10              17              81 
 129         110001a              04              01              9a 
 130         9100018              01              01              98 
 131         1000019              00              01              99 
 132         121001e              0e              08              9f 
 133         c320000              17              05              88 
 136         400001b              01              00              9b 
 137         c300014              05              09              94 
 148         200001c              00              00              9c 
   0        10000019              00              00              99 
   0         f000019              00              00              99 
 151         c300001              09              17              81 
 129         110001a              01              03              9a 
 130         9100018              03              03              98 
 131         1000019              00              02              99 
 132         121001e              08              0c              81 
 133         c320000              17              05              8c 
 140         600001b              02              00              9b 
 141         c300014              05              0d              94 
 148         200001c              00              00              9c 
   0        10000019              00              00              99 
   0         f000019              00              00              99 
 151         c300001              0d              17              81 
 129         110001a              03        ffffffff              9a 
 130         9100018        ffffffff        ffffffff              98 
   0              00              00              00              80 
